account_id,signup_date,industry,company_size,source,plan,mrr,trial_end_date,conversion_date,churned,churn_date
A00001,2024-02-18,Fintech,11-50,Product Hunt,Free,0,2024-03-03,,No,
A00002,2023-05-17,Education,1-10,Partner,Free,0,2023-05-31,,No,
A00003,2024-06-27,SaaS,500+,Direct,Free,0,2024-07-11,,No,
A00004,2024-05-16,Healthcare,201-500,Paid Ads,Free,0,2024-05-30,,No,
A00005,2024-01-18,Healthcare,201-500,Partner,Enterprise,499,2024-02-01,2024-02-06,No,
A00006,2024-06-25,Real Estate,1-10,Direct,Free,0,2024-07-09,,No,
A00007,2023-02-13,E-commerce,500+,Referral,Growth,299,2023-02-27,2023-02-28,No,
A00008,2023-07-22,E-commerce,201-500,LinkedIn,Free,0,2023-08-05,,No,
A00009,2023-08-10,Real Estate,11-50,Direct,Free,0,2023-08-24,,No,
A00010,2023-07-01,E-commerce,11-50,LinkedIn,Starter,29,2023-07-15,2023-07-21,No,
A00011,2024-10-09,Education,11-50,Organic Search,Free,0,2024-10-23,,No,
A00012,2024-01-26,Logistics,11-50,Referral,Growth,199,2024-02-09,2024-02-09,No,
A00013,2024-07-12,Marketing Agency,11-50,Product Hunt,Free,0,2024-07-26,,No,
A00014,2024-05-02,Fintech,11-50,Organic Search,Free,0,2024-05-16,,No,
A00015,2024-02-23,SaaS,1-10,Organic Search,Starter,79,2024-03-08,2024-03-10,Yes,2024-07-24
A00016,2024-07-28,Healthcare,201-500,Referral,Free,0,2024-08-11,,No,
A00017,2023-05-01,Fintech,51-200,Partner,Free,0,2023-05-15,,No,
A00018,2024-05-28,E-commerce,1-10,Referral,Starter,79,2024-06-11,2024-06-16,No,
A00019,2024-01-15,Fintech,1-10,LinkedIn,Free,0,2024-01-29,,No,
A00020,2024-01-17,Real Estate,201-500,Direct,Enterprise,999,2024-01-31,2024-02-03,Yes,2024-08-11
A00021,2023-08-12,Logistics,11-50,Partner,Growth,299,2023-08-26,2023-08-27,No,
A00022,2023-09-20,Education,500+,Organic Search,Free,0,2023-10-04,,No,
A00023,2023-11-25,Fintech,201-500,Partner,Free,0,2023-12-09,,No,
A00024,2023-09-20,Logistics,51-200,Product Hunt,Free,0,2023-10-04,,No,
A00025,2024-09-17,Logistics,51-200,Paid Ads,Free,0,2024-10-01,,No,
A00026,2024-09-10,Real Estate,500+,Partner,Growth,249,2024-09-24,2024-09-27,Yes,2024-12-11
A00027,2024-12-12,Fintech,11-50,Referral,Free,0,2024-12-26,,No,
A00028,2023-09-25,Healthcare,201-500,Direct,Free,0,2023-10-09,,No,
A00029,2023-12-20,E-commerce,201-500,Direct,Growth,249,2024-01-03,2024-01-03,No,
A00030,2023-06-21,Healthcare,201-500,LinkedIn,Free,0,2023-07-05,,No,
A00031,2024-03-02,Education,500+,Product Hunt,Starter,49,2024-03-16,2024-03-17,Yes,2024-05-02
A00032,2023-03-01,Marketing Agency,51-200,Product Hunt,Free,0,2023-03-15,,No,
A00033,2024-10-03,Education,500+,Direct,Starter,79,2024-10-17,2024-10-23,No,
A00034,2023-09-29,Fintech,51-200,Product Hunt,Free,0,2023-10-13,,No,
A00035,2024-04-02,Logistics,201-500,Partner,Free,0,2024-04-16,,No,
A00036,2023-07-03,Healthcare,51-200,Referral,Growth,199,2023-07-17,2023-07-23,No,
A00037,2024-05-05,Fintech,201-500,LinkedIn,Free,0,2024-05-19,,No,
A00038,2024-06-28,E-commerce,201-500,Paid Ads,Enterprise,999,2024-07-12,2024-07-13,No,
A00039,2023-01-05,Education,500+,LinkedIn,Free,0,2023-01-19,,No,
A00040,2024-08-19,Education,201-500,Referral,Growth,299,2024-09-02,2024-09-02,Yes,2024-11-14
A00041,2024-06-07,Education,500+,Paid Ads,Growth,199,2024-06-21,2024-06-27,No,
A00042,2023-04-30,Education,11-50,Product Hunt,Free,0,2023-05-14,,No,
A00043,2024-01-09,Healthcare,500+,Organic Search,Free,0,2024-01-23,,No,
A00044,2023-06-27,SaaS,51-200,Direct,Free,0,2023-07-11,,No,
A00045,2023-04-27,Fintech,11-50,Direct,Free,0,2023-05-11,,No,
A00046,2023-03-30,Logistics,500+,Organic Search,Enterprise,799,2023-04-13,2023-04-16,No,
A00047,2023-02-24,Healthcare,201-500,Referral,Enterprise,1499,2023-03-10,2023-03-12,No,
A00048,2024-06-17,Healthcare,1-10,Direct,Free,0,2024-07-01,,No,
A00049,2024-11-29,Healthcare,1-10,Partner,Free,0,2024-12-13,,No,
A00050,2024-09-08,Fintech,1-10,Partner,Free,0,2024-09-22,,No,
A00051,2023-06-20,Marketing Agency,201-500,Partner,Growth,149,2023-07-04,2023-07-10,No,
A00052,2023-06-12,Education,1-10,Paid Ads,Free,0,2023-06-26,,No,
A00053,2023-10-30,Real Estate,1-10,Referral,Free,0,2023-11-13,,No,
A00054,2023-03-16,Fintech,51-200,Organic Search,Free,0,2023-03-30,,No,
A00055,2023-11-21,Marketing Agency,51-200,Partner,Free,0,2023-12-05,,No,
A00056,2023-02-05,Healthcare,51-200,Product Hunt,Free,0,2023-02-19,,No,
A00057,2024-12-11,Education,1-10,Direct,Free,0,2024-12-25,,No,
A00058,2024-03-05,Fintech,11-50,LinkedIn,Free,0,2024-03-19,,No,
A00059,2023-02-25,Education,11-50,Paid Ads,Free,0,2023-03-11,,No,
A00060,2024-08-03,E-commerce,201-500,Organic Search,Free,0,2024-08-17,,No,
A00061,2023-01-30,Fintech,11-50,Partner,Free,0,2023-02-13,,No,
A00062,2023-07-04,E-commerce,51-200,Direct,Free,0,2023-07-18,,No,
A00063,2023-09-18,Logistics,500+,Paid Ads,Enterprise,1499,2023-10-02,2023-10-02,No,
A00064,2024-04-01,Healthcare,11-50,Organic Search,Free,0,2024-04-15,,No,
A00065,2023-05-16,SaaS,500+,Product Hunt,Free,0,2023-05-30,,No,
A00066,2023-06-13,Real Estate,500+,Paid Ads,Enterprise,799,2023-06-27,2023-07-03,No,
A00067,2023-06-27,Healthcare,201-500,Paid Ads,Enterprise,499,2023-07-11,2023-07-13,Yes,2024-05-06
A00068,2023-08-21,Logistics,201-500,Direct,Free,0,2023-09-04,,No,
A00069,2023-03-16,Marketing Agency,51-200,Paid Ads,Free,0,2023-03-30,,No,
A00070,2023-12-09,SaaS,11-50,Product Hunt,Free,0,2023-12-23,,No,
A00071,2023-01-31,E-commerce,201-500,Organic Search,Enterprise,799,2023-02-14,2023-02-18,No,
A00072,2024-11-18,Education,1-10,Referral,Starter,49,2024-12-02,2024-12-04,No,
A00073,2024-12-14,Education,500+,Referral,Starter,49,2024-12-28,2024-12-28,Yes,2025-01-27
A00074,2024-09-14,E-commerce,201-500,Organic Search,Free,0,2024-09-28,,No,
A00075,2023-11-22,Fintech,11-50,Product Hunt,Free,0,2023-12-06,,No,
A00076,2023-01-23,Healthcare,11-50,Organic Search,Free,0,2023-02-06,,No,
A00077,2024-09-27,E-commerce,1-10,Referral,Free,0,2024-10-11,,No,
A00078,2024-11-04,Marketing Agency,1-10,Product Hunt,Free,0,2024-11-18,,No,
A00079,2024-07-25,Education,500+,Product Hunt,Free,0,2024-08-08,,No,
A00080,2023-12-20,Education,1-10,Partner,Free,0,2024-01-03,,No,
A00081,2023-03-07,Education,11-50,Organic Search,Free,0,2023-03-21,,No,
A00082,2023-04-15,Healthcare,51-200,Referral,Growth,249,2023-04-29,2023-04-29,Yes,2023-12-11
A00083,2023-05-05,Education,1-10,Direct,Free,0,2023-05-19,,No,
A00084,2024-12-21,Marketing Agency,201-500,Product Hunt,Free,0,2025-01-04,,No,
A00085,2023-08-29,SaaS,500+,LinkedIn,Free,0,2023-09-12,,No,
A00086,2024-02-12,SaaS,11-50,Partner,Free,0,2024-02-26,,No,
A00087,2023-10-14,Marketing Agency,201-500,Product Hunt,Free,0,2023-10-28,,No,
A00088,2023-03-29,E-commerce,1-10,Direct,Free,0,2023-04-12,,No,
A00089,2024-10-11,Healthcare,201-500,Paid Ads,Free,0,2024-10-25,,No,
A00090,2024-11-09,E-commerce,500+,Direct,Enterprise,799,2024-11-23,2024-11-26,No,
A00091,2023-04-20,Education,201-500,Organic Search,Starter,49,2023-05-04,2023-05-08,No,
