usage_id,account_id,feature,usage_month,times_used
U0000001,A00001,Dashboard,2024-02,66
U0000002,A00001,Integrations,2024-02,17
U0000003,A00002,Export Data,2023-05,30
U0000004,A00002,Export Data,2023-06,44
U0000005,A00003,Integrations,2024-06,16
U0000006,A00003,Automations,2024-06,21
U0000007,A00003,Single Sign-On,2024-06,11
U0000008,A00003,Integrations,2024-07,17
U0000009,A00003,Automations,2024-07,19
U0000010,A00003,Single Sign-On,2024-07,45
U0000011,A00004,Team Collaboration,2024-05,36
U0000012,A00004,Automations,2024-05,30
U0000013,A00004,Team Collaboration,2024-06,37
U0000014,A00004,Automations,2024-06,36
U0000015,A00005,Team Collaboration,2024-01,7
U0000016,A00005,Export Data,2024-01,42
U0000017,A00005,API Access,2024-01,12
U0000018,A00005,Automations,2024-01,11
U0000019,A00005,Dashboard,2024-01,28
U0000020,A00005,Integrations,2024-01,18
U0000021,A00005,Single Sign-On,2024-01,28
U0000022,A00005,Custom Workflows,2024-01,5
U0000023,A00005,Advanced Analytics,2024-01,43
U0000024,A00005,Reports,2024-01,58
U0000025,A00005,Team Collaboration,2024-02,37
U0000026,A00005,Export Data,2024-02,16
U0000027,A00005,API Access,2024-02,26
U0000028,A00005,Automations,2024-02,42
U0000029,A00005,Dashboard,2024-02,13
U0000030,A00005,Integrations,2024-02,2
U0000031,A00005,Single Sign-On,2024-02,19
U0000032,A00005,Custom Workflows,2024-02,26
U0000033,A00005,Advanced Analytics,2024-02,23
U0000034,A00005,Reports,2024-02,85
U0000035,A00005,Team Collaboration,2024-03,39
U0000036,A00005,Export Data,2024-03,16
U0000037,A00005,API Access,2024-03,15
U0000038,A00005,Automations,2024-03,17
U0000039,A00005,Dashboard,2024-03,97
U0000040,A00005,Integrations,2024-03,13
U0000041,A00005,Single Sign-On,2024-03,26
U0000042,A00005,Custom Workflows,2024-03,50
U0000043,A00005,Advanced Analytics,2024-03,15
U0000044,A00005,Reports,2024-03,44
U0000045,A00005,Team Collaboration,2024-04,42
U0000046,A00005,Export Data,2024-04,3
U0000047,A00005,API Access,2024-04,2
U0000048,A00005,Automations,2024-04,50
U0000049,A00005,Dashboard,2024-04,30
U0000050,A00005,Integrations,2024-04,16
U0000051,A00005,Single Sign-On,2024-04,35
U0000052,A00005,Custom Workflows,2024-04,28
U0000053,A00005,Advanced Analytics,2024-04,50
U0000054,A00005,Reports,2024-04,74
U0000055,A00005,Team Collaboration,2024-05,41
U0000056,A00005,Export Data,2024-05,33
U0000057,A00005,API Access,2024-05,14
U0000058,A00005,Automations,2024-05,36
U0000059,A00005,Dashboard,2024-05,68
U0000060,A00005,Integrations,2024-05,14
U0000061,A00005,Single Sign-On,2024-05,39
U0000062,A00005,Custom Workflows,2024-05,37
U0000063,A00005,Advanced Analytics,2024-05,15
U0000064,A00005,Reports,2024-05,74
U0000065,A00005,Team Collaboration,2024-06,49
U0000066,A00005,Export Data,2024-06,12
U0000067,A00005,API Access,2024-06,5
U0000068,A00005,Automations,2024-06,28
U0000069,A00005,Dashboard,2024-06,80
U0000070,A00005,Integrations,2024-06,25
U0000071,A00005,Single Sign-On,2024-06,26
U0000072,A00005,Custom Workflows,2024-06,27
U0000073,A00005,Advanced Analytics,2024-06,41
U0000074,A00005,Reports,2024-06,16
U0000075,A00005,Team Collaboration,2024-07,9
U0000076,A00005,Export Data,2024-07,40
U0000077,A00005,API Access,2024-07,21
U0000078,A00005,Automations,2024-07,17
U0000079,A00005,Dashboard,2024-07,23
U0000080,A00005,Integrations,2024-07,21
U0000081,A00005,Single Sign-On,2024-07,15
U0000082,A00005,Custom Workflows,2024-07,35
U0000083,A00005,Advanced Analytics,2024-07,4
U0000084,A00005,Reports,2024-07,35
U0000085,A00005,Team Collaboration,2024-08,12
U0000086,A00005,Export Data,2024-08,49
U0000087,A00005,API Access,2024-08,23
U0000088,A00005,Automations,2024-08,21
U0000089,A00005,Dashboard,2024-08,84
U0000090,A00005,Integrations,2024-08,24
U0000091,A00005,Single Sign-On,2024-08,44
U0000092,A00005,Custom Workflows,2024-08,16
U0000093,A00005,Advanced Analytics,2024-08,42
U0000094,A00005,Reports,2024-08,38
U0000095,A00005,Team Collaboration,2024-09,16
U0000096,A00005,Export Data,2024-09,46
U0000097,A00005,API Access,2024-09,29
U0000098,A00005,Automations,2024-09,19
U0000099,A00005,Dashboard,2024-09,88
U0000100,A00005,Integrations,2024-09,6
U0000101,A00005,Single Sign-On,2024-09,50
U0000102,A00005,Custom Workflows,2024-09,26
U0000103,A00005,Advanced Analytics,2024-09,37
U0000104,A00005,Reports,2024-09,71
U0000105,A00006,Export Data,2024-06,32
U0000106,A00006,Team Collaboration,2024-06,30
U0000107,A00006,Single Sign-On,2024-06,44
U0000108,A00006,Export Data,2024-07,44
U0000109,A00006,Team Collaboration,2024-07,46
U0000110,A00006,Single Sign-On,2024-07,9
U0000111,A00007,Dashboard,2023-02,58
U0000112,A00007,API Access,2023-02,7
U0000113,A00007,Team Collaboration,2023-02,33
U0000114,A00007,Integrations,2023-02,4
U0000115,A00007,Reports,2023-02,61
U0000116,A00007,Custom Workflows,2023-02,38
U0000117,A00007,Single Sign-On,2023-02,32
U0000118,A00007,Dashboard,2023-03,35
U0000119,A00007,API Access,2023-03,16
U0000120,A00007,Team Collaboration,2023-03,16
U0000121,A00007,Integrations,2023-03,28
U0000122,A00007,Reports,2023-03,73
U0000123,A00007,Custom Workflows,2023-03,41
U0000124,A00007,Single Sign-On,2023-03,21
U0000125,A00007,Dashboard,2023-04,80
U0000126,A00007,API Access,2023-04,12
U0000127,A00007,Team Collaboration,2023-04,32
U0000128,A00007,Integrations,2023-04,5
U0000129,A00007,Reports,2023-04,45
U0000130,A00007,Custom Workflows,2023-04,34
U0000131,A00007,Single Sign-On,2023-04,28
U0000132,A00007,Dashboard,2023-05,93
U0000133,A00007,API Access,2023-05,19
U0000134,A00007,Team Collaboration,2023-05,46
U0000135,A00007,Integrations,2023-05,26
U0000136,A00007,Reports,2023-05,38
U0000137,A00007,Custom Workflows,2023-05,13
U0000138,A00007,Single Sign-On,2023-05,27
U0000139,A00007,Dashboard,2023-06,30
U0000140,A00007,API Access,2023-06,21
U0000141,A00007,Team Collaboration,2023-06,46
U0000142,A00007,Integrations,2023-06,16
U0000143,A00007,Reports,2023-06,81
U0000144,A00007,Custom Workflows,2023-06,17
U0000145,A00007,Single Sign-On,2023-06,8
U0000146,A00007,Dashboard,2023-07,17
U0000147,A00007,API Access,2023-07,19
U0000148,A00007,Team Collaboration,2023-07,10
U0000149,A00007,Integrations,2023-07,4
U0000150,A00007,Reports,2023-07,47
U0000151,A00007,Custom Workflows,2023-07,25
U0000152,A00007,Single Sign-On,2023-07,6
U0000153,A00008,Single Sign-On,2023-07,19
U0000154,A00008,Team Collaboration,2023-07,40
U0000155,A00008,Single Sign-On,2023-08,42
U0000156,A00008,Team Collaboration,2023-08,49
U0000157,A00009,API Access,2023-08,16
U0000158,A00010,Advanced Analytics,2023-07,5
U0000159,A00010,Export Data,2023-07,27
U0000160,A00010,Dashboard,2023-07,38
U0000161,A00010,Advanced Analytics,2023-07,19
U0000162,A00010,Export Data,2023-07,10
U0000163,A00010,Dashboard,2023-07,91
U0000164,A00010,Advanced Analytics,2023-08,32
U0000165,A00010,Export Data,2023-08,12
U0000166,A00010,Dashboard,2023-08,65
U0000167,A00010,Advanced Analytics,2023-09,22
U0000168,A00010,Export Data,2023-09,22
U0000169,A00010,Dashboard,2023-09,27
U0000170,A00011,Custom Workflows,2024-10,12
U0000171,A00011,Automations,2024-10,27
U0000172,A00011,Custom Workflows,2024-11,4
U0000173,A00011,Automations,2024-11,25
U0000174,A00011,Custom Workflows,2024-12,43
U0000175,A00011,Automations,2024-12,46
U0000176,A00012,Team Collaboration,2024-01,11
U0000177,A00012,API Access,2024-01,17
U0000178,A00012,Automations,2024-01,24
U0000179,A00012,Custom Workflows,2024-01,20
U0000180,A00012,Reports,2024-01,24
U0000181,A00012,Export Data,2024-01,45
U0000182,A00012,Team Collaboration,2024-02,50
U0000183,A00012,API Access,2024-02,4
U0000184,A00012,Automations,2024-02,5
U0000185,A00012,Custom Workflows,2024-02,41
U0000186,A00012,Reports,2024-02,56
U0000187,A00012,Export Data,2024-02,34
U0000188,A00012,Team Collaboration,2024-03,37
U0000189,A00012,API Access,2024-03,13
U0000190,A00012,Automations,2024-03,45
U0000191,A00012,Custom Workflows,2024-03,21
U0000192,A00012,Reports,2024-03,64
U0000193,A00012,Export Data,2024-03,11
U0000194,A00012,Team Collaboration,2024-04,46
U0000195,A00012,API Access,2024-04,6
U0000196,A00012,Automations,2024-04,32
U0000197,A00012,Custom Workflows,2024-04,36
U0000198,A00012,Reports,2024-04,43
U0000199,A00012,Export Data,2024-04,46
U0000200,A00013,API Access,2024-07,29
U0000201,A00013,Single Sign-On,2024-07,24
U0000202,A00013,Custom Workflows,2024-07,23
U0000203,A00013,API Access,2024-08,19
U0000204,A00013,Single Sign-On,2024-08,12
U0000205,A00013,Custom Workflows,2024-08,34
U0000206,A00014,Export Data,2024-05,4
U0000207,A00014,API Access,2024-05,1
U0000208,A00015,Automations,2024-02,16
U0000209,A00015,Custom Workflows,2024-02,28
U0000210,A00015,Export Data,2024-02,11
U0000211,A00015,Single Sign-On,2024-02,23
U0000212,A00015,Reports,2024-02,35
U0000213,A00015,Automations,2024-03,21
U0000214,A00015,Custom Workflows,2024-03,36
U0000215,A00015,Export Data,2024-03,36
U0000216,A00015,Single Sign-On,2024-03,10
U0000217,A00015,Reports,2024-03,38
U0000218,A00015,Automations,2024-04,10
U0000219,A00015,Custom Workflows,2024-04,36
U0000220,A00015,Export Data,2024-04,5
U0000221,A00015,Single Sign-On,2024-04,30
U0000222,A00015,Reports,2024-04,15
U0000223,A00015,Automations,2024-05,41
U0000224,A00015,Custom Workflows,2024-05,9
U0000225,A00015,Export Data,2024-05,6
U0000226,A00015,Single Sign-On,2024-05,37
U0000227,A00015,Reports,2024-05,37
U0000228,A00015,Automations,2024-06,14
U0000229,A00015,Custom Workflows,2024-06,33
U0000230,A00015,Export Data,2024-06,24
U0000231,A00015,Single Sign-On,2024-06,19
U0000232,A00015,Reports,2024-06,18
U0000233,A00015,Automations,2024-07,15
U0000234,A00015,Custom Workflows,2024-07,10
U0000235,A00015,Export Data,2024-07,46
U0000236,A00015,Single Sign-On,2024-07,20
U0000237,A00015,Reports,2024-07,73
U0000238,A00015,Automations,2024-08,38
U0000239,A00015,Custom Workflows,2024-08,8
U0000240,A00015,Export Data,2024-08,34
U0000241,A00015,Single Sign-On,2024-08,5
U0000242,A00015,Reports,2024-08,68
U0000243,A00016,Automations,2024-07,25
U0000244,A00016,Automations,2024-08,48
U0000245,A00017,Team Collaboration,2023-05,8
U0000246,A00017,Reports,2023-05,65
U0000247,A00017,Team Collaboration,2023-05,48
U0000248,A00017,Reports,2023-05,82
U0000249,A00018,Team Collaboration,2024-05,32
U0000250,A00018,Custom Workflows,2024-05,31
U0000251,A00018,Reports,2024-05,22
U0000252,A00018,Integrations,2024-05,23
U0000253,A00018,Export Data,2024-05,45
U0000254,A00018,Team Collaboration,2024-06,15
U0000255,A00018,Custom Workflows,2024-06,29
U0000256,A00018,Reports,2024-06,61
U0000257,A00018,Integrations,2024-06,28
U0000258,A00018,Export Data,2024-06,47
U0000259,A00018,Team Collaboration,2024-07,3
U0000260,A00018,Custom Workflows,2024-07,42
U0000261,A00018,Reports,2024-07,29
U0000262,A00018,Integrations,2024-07,18
U0000263,A00018,Export Data,2024-07,31
U0000264,A00019,Export Data,2024-01,10
U0000265,A00019,Single Sign-On,2024-01,37
