event_id,account_id,event_type,event_date
E0000001,A00001,Signed Up,2024-02-18
E0000002,A00001,Completed Onboarding,2024-02-22
E0000003,A00001,Invited Team Member,2024-02-28
E0000004,A00001,Upgraded Plan,2024-02-28
E0000005,A00002,Signed Up,2023-05-17
E0000006,A00002,Completed Onboarding,2023-05-22
E0000007,A00002,Upgraded Plan,2023-06-30
E0000008,A00003,Signed Up,2024-06-27
E0000009,A00004,Signed Up,2024-05-16
E0000010,A00004,Enabled Automation,2024-07-15
E0000011,A00004,Created First Report,2024-06-26
E0000012,A00005,Signed Up,2024-01-18
E0000013,A00005,Completed Onboarding,2024-01-21
E0000014,A00005,Exported Data,2024-04-01
E0000015,A00005,Connected Integration,2024-02-28
E0000016,A00005,Upgraded Plan,2024-02-24
E0000017,A00005,Created First Report,2024-04-14
E0000018,A00006,Signed Up,2024-06-25
E0000019,A00006,Created First Report,2024-07-20
E0000020,A00006,Enabled Automation,2024-09-21
E0000021,A00007,Signed Up,2023-02-13
E0000022,A00007,Completed Onboarding,2023-02-17
E0000023,A00007,Enabled Automation,2023-03-19
E0000024,A00007,Created First Report,2023-05-05
E0000025,A00007,Upgraded Plan,2023-04-02
E0000026,A00007,Exported Data,2023-03-07
E0000027,A00007,Invited Team Member,2023-03-27
E0000028,A00008,Signed Up,2023-07-22
E0000029,A00008,Completed Onboarding,2023-07-27
E0000030,A00009,Signed Up,2023-08-10
E0000031,A00009,Created First Report,2023-10-15
E0000032,A00010,Signed Up,2023-07-01
E0000033,A00010,Enabled Automation,2023-09-17
E0000034,A00010,Upgraded Plan,2023-07-28
E0000035,A00010,Invited Team Member,2023-08-30
E0000036,A00011,Signed Up,2024-10-09
E0000037,A00011,Created First Report,2024-11-22
E0000038,A00011,Invited Team Member,2024-10-25
E0000039,A00012,Signed Up,2024-01-26
E0000040,A00012,Completed Onboarding,2024-01-28
E0000041,A00012,Invited Team Member,2024-03-01
E0000042,A00012,Upgraded Plan,2024-02-29
E0000043,A00012,Exported Data,2024-03-09
E0000044,A00012,Enabled Automation,2024-03-16
E0000045,A00013,Signed Up,2024-07-12
E0000046,A00013,Exported Data,2024-09-18
E0000047,A00014,Signed Up,2024-05-02
E0000048,A00014,Completed Onboarding,2024-05-04
E0000049,A00014,Exported Data,2024-05-15
E0000050,A00014,Created First Report,2024-06-08
E0000051,A00015,Signed Up,2024-02-23
E0000052,A00015,Completed Onboarding,2024-02-24
E0000053,A00015,Upgraded Plan,2024-05-03
E0000054,A00015,Connected Integration,2024-03-08
E0000055,A00016,Signed Up,2024-07-28
E0000056,A00016,Exported Data,2024-07-29
E0000057,A00017,Signed Up,2023-05-01
E0000058,A00017,Invited Team Member,2023-06-22
E0000059,A00018,Signed Up,2024-05-28
E0000060,A00018,Completed Onboarding,2024-06-01
E0000061,A00018,Upgraded Plan,2024-08-25
E0000062,A00018,Exported Data,2024-05-30
E0000063,A00019,Signed Up,2024-01-15
E0000064,A00019,Completed Onboarding,2024-01-17
E0000065,A00020,Signed Up,2024-01-17
E0000066,A00020,Completed Onboarding,2024-01-21
E0000067,A00020,Created First Report,2024-02-09
