ticket_id,account_id,created_date,category,priority,resolution_hours,resolved
T000001,A00002,2024-04-30,Onboarding Help,Low,,No
T000002,A00002,2023-06-24,Performance,Medium,76,Yes
T000003,A00003,2024-09-20,Onboarding Help,Critical,8,Yes
T000004,A00003,2024-08-26,Performance,Critical,5,Yes
T000005,A00003,2024-07-17,Bug Report,Low,76,Yes
T000006,A00004,2024-06-22,Billing,Medium,,No
T000007,A00004,2024-09-27,Performance,Critical,3,Yes
T000008,A00005,2024-06-07,Onboarding Help,High,,No
T000009,A00005,2024-06-07,Performance,Medium,29,Yes
T000010,A00005,2024-06-23,Onboarding Help,Critical,2,Yes
T000011,A00005,2024-12-20,Billing,Medium,90,Yes
T000012,A00005,2024-03-08,Billing,Low,119,Yes
T000013,A00005,2024-04-12,Onboarding Help,Low,35,Yes
T000014,A00005,2024-08-08,Integration Issue,High,6,Yes
T000015,A00005,2024-11-30,Billing,Medium,58,Yes
T000016,A00006,2024-09-20,Billing,Low,127,Yes
T000017,A00006,2024-10-11,Billing,Critical,6,Yes
T000018,A00007,2024-05-14,Billing,Medium,41,Yes
T000019,A00007,2024-03-15,Feature Request,High,15,Yes
T000020,A00008,2024-03-18,Integration Issue,Medium,38,Yes
T000021,A00008,2024-12-21,Onboarding Help,Medium,41,Yes
T000022,A00008,2023-12-08,Feature Request,Medium,30,Yes
T000023,A00011,2024-12-05,Performance,Low,149,Yes
T000024,A00011,2024-11-06,Integration Issue,Medium,93,Yes
T000025,A00011,2024-11-14,Performance,Low,,No
T000026,A00012,2024-07-17,Billing,High,,No
T000027,A00012,2024-05-04,Feature Request,Medium,28,Yes
T000028,A00012,2024-11-08,Feature Request,Low,130,Yes
T000029,A00012,2024-02-08,Onboarding Help,Critical,3,Yes
T000030,A00012,2024-09-03,Integration Issue,Low,156,Yes
T000031,A00012,2024-02-12,Billing,High,,No
T000032,A00013,2024-09-23,Billing,Low,67,Yes
T000033,A00013,2024-12-28,Feature Request,Medium,91,Yes
T000034,A00013,2024-11-02,Integration Issue,Low,104,Yes
T000035,A00014,2024-11-19,Onboarding Help,Medium,89,Yes
T000036,A00016,2024-11-07,Onboarding Help,High,31,Yes
T000037,A00016,2024-09-25,Performance,Medium,29,Yes
T000038,A00018,2024-10-14,Onboarding Help,Low,166,Yes
T000039,A00018,2024-10-14,Performance,Medium,23,Yes
T000040,A00018,2024-09-07,Performance,Low,112,Yes
T000041,A00018,2024-10-05,Performance,Medium,20,Yes
T000042,A00018,2024-09-25,Bug Report,Medium,20,Yes
T000043,A00019,2024-08-20,Billing,Low,136,Yes
T000044,A00019,2024-02-20,Performance,Low,,No
T000045,A00020,2024-03-01,Feature Request,Medium,71,Yes
T000046,A00020,2024-04-16,Onboarding Help,Medium,24,Yes
T000047,A00020,2024-03-23,Onboarding Help,Low,,No
T000048,A00020,2024-06-25,Bug Report,Medium,63,Yes
T000049,A00020,2024-04-21,Bug Report,Medium,33,Yes
T000050,A00020,2024-04-02,Onboarding Help,Critical,2,Yes
T000051,A00020,2024-08-14,Bug Report,High,42,Yes
T000052,A00020,2024-12-19,Performance,Critical,5,Yes
T000053,A00020,2024-05-15,Performance,Critical,6,Yes
T000054,A00020,2024-11-17,Onboarding Help,Low,129,Yes
T000055,A00020,2024-04-21,Performance,Medium,65,Yes
T000056,A00020,2024-04-17,Billing,Critical,6,Yes
T000057,A00021,2023-11-15,Feature Request,Low,110,Yes
T000058,A00021,2024-07-02,Onboarding Help,Medium,70,Yes
T000059,A00021,2024-07-15,Billing,Medium,88,Yes
T000060,A00021,2024-03-23,Integration Issue,Medium,67,Yes
T000061,A00021,2023-09-04,Onboarding Help,Critical,8,Yes
T000062,A00021,2023-11-18,Feature Request,High,28,Yes
T000063,A00021,2024-05-14,Billing,Medium,94,Yes
T000064,A00022,2024-03-08,Onboarding Help,Low,76,Yes
T000065,A00023,2024-07-02,Feature Request,Low,95,Yes
T000066,A00023,2024-10-13,Bug Report,Medium,31,Yes
T000067,A00024,2024-11-02,Billing,Critical,5,Yes
T000068,A00025,2024-11-06,Bug Report,Low,159,Yes
T000069,A00025,2024-10-24,Onboarding Help,Critical,2,Yes
T000070,A00025,2024-10-18,Bug Report,Low,149,Yes
T000071,A00027,2024-12-28,Feature Request,Medium,94,Yes
T000072,A00027,2024-12-13,Bug Report,Low,78,Yes
T000073,A00028,2024-11-30,Billing,Medium,60,Yes
T000074,A00029,2024-01-25,Onboarding Help,Low,91,Yes
T000075,A00029,2024-02-07,Feature Request,Low,115,Yes
T000076,A00029,2024-02-05,Integration Issue,Medium,23,Yes
T000077,A00029,2024-06-12,Feature Request,Critical,2,Yes
T000078,A00029,2024-03-04,Feature Request,Low,,No
T000079,A00029,2024-05-10,Onboarding Help,Critical,2,Yes
T000080,A00029,2024-09-04,Billing,Medium,24,Yes
T000081,A00031,2024-05-11,Integration Issue,Low,56,Yes
T000082,A00031,2024-06-12,Bug Report,High,39,Yes
T000083,A00031,2024-12-17,Billing,Low,157,Yes
T000084,A00031,2024-04-13,Integration Issue,Low,55,Yes
T000085,A00031,2024-11-14,Integration Issue,Medium,16,Yes
T000086,A00031,2024-10-26,Integration Issue,Critical,4,Yes
T000087,A00031,2024-05-10,Feature Request,Low,132,Yes
T000088,A00032,2024-12-20,Bug Report,Medium,30,Yes
T000089,A00032,2024-01-16,Onboarding Help,Medium,52,Yes
T000090,A00032,2023-08-17,Performance,Low,123,Yes
T000091,A00033,2024-12-20,Performance,Medium,,No
T000092,A00033,2024-11-06,Performance,Medium,76,Yes
T000093,A00033,2024-12-27,Onboarding Help,Medium,50,Yes
T000094,A00035,2024-12-08,Performance,Medium,,No
T000095,A00036,2024-12-04,Feature Request,Medium,50,Yes
T000096,A00036,2024-12-11,Integration Issue,Low,148,Yes
T000097,A00036,2023-08-07,Bug Report,High,42,Yes
T000098,A00036,2023-08-11,Bug Report,Low,26,Yes
T000099,A00036,2023-10-26,Billing,Medium,,No
